activity_arm,ISO/TS 10303-1047
design_management_arm,ISO/TS 10303-1661
design_material_aspects_arm,ISO/TS 10303-1232
design_product_data_management_arm,ISO/TS 10303-1628
design_specific_assignment_to_assembly_usage_view_arm,ISO/TS 10303-1662
design_specific_assignment_to_interconnect_usage_view_arm,ISO/TS 10303-1663
device_marking_arm,ISO/TS 10303-1664
dimension_and_tolerance_callouts_arm,ISO/TS 10303-1362
dimension_tolerance_arm,ISO/TS 10303-1050
discrete_shield_arm,ISO/TS 10303-1744
disposition_arm,ISO/TS 10303-1493
document_and_version_identification_arm,ISO/TS 10303-1121
document_assignment_arm,ISO/TS 10303-1122
document_as_individual_arm,ISO/TS 10303-1184
document_definition_arm,ISO/TS 10303-1123
document_management_arm,ISO/TS 10303-1290
document_order_arm,ISO/TS 10303-1368
document_properties_arm,ISO/TS 10303-1126
document_structure_arm,ISO/TS 10303-1124
document_structure_and_classification_arm,ISO/TS 10303-1180
draughting_annotation_arm,ISO/TS 10303-1206
draughting_element_arm,ISO/TS 10303-1310
draughting_element_specialisations_arm,ISO/TS 10303-1312
drawing_definition_arm,ISO/TS 10303-1309
drawing_structure_and_administration_arm,ISO/TS 10303-1207
edge_based_wireframe_arm,ISO/TS 10303-1501
edge_shape_feature_arm,ISO/TS 10303-1673
effectivity_arm,ISO/TS 10303-1057
effectivity_application_arm,ISO/TS 10303-1059
electrical_network_definition_arm,ISO/TS 10303-1665
elemental_geometric_shape_arm,ISO/TS 10303-1004
elemental_topology_arm,ISO/TS 10303-1005
elementary_boundary_representation_arm,ISO/TS 10303-1329
envelope_arm,ISO/TS 10303-1265
event_arm,ISO/TS 10303-1064
event_assignment_arm,ISO/TS 10303-1364
experience_arm,ISO/TS 10303-1243
explicit_draughting_arm,ISO/TS 10303-401
expression_arm,ISO/TS 10303-1342
expression_assignment_arm,ISO/TS 10303-1491
extended_basic_geometry_arm,ISO/TS 10303-1667
extended_configuration_controlled_3d_parts_and_assemblies_arm,ISO/TS 10303-xxxx
extended_date_arm,ISO/TS 10303-1776
extended_geometric_tolerance_arm,ISO/TS 10303-1666
extended_measure_representation_arm,ISO/TS 10303-1106
extended_task_element_arm,ISO/TS 10303-1479
external_analysis_representation_arm,ISO/TS 10303-1784
external_class_arm,ISO/TS 10303-1275
external_currency_arm,ISO/TS 10303-1777
external_functional_model_arm,ISO/TS 10303-1478
external_item_identification_assignment_arm,ISO/TS 10303-1128
external_library_arm,ISO/TS 10303-1778
external_model_arm,ISO/TS 10303-1033
external_properties_arm,ISO/TS 10303-1129
external_representation_item_arm,ISO/TS 10303-1779
external_source_arm,ISO/TS 10303-1331
external_state_based_behaviour_model_arm,ISO/TS 10303-1468
external_unit_arm,ISO/TS 10303-1780
fabrication_joint_arm,ISO/TS 10303-1668
fabrication_requirement_arm,ISO/TS 10303-1669
fabrication_technology_arm,ISO/TS 10303-1670
faceted_boundary_representation_arm,ISO/TS 10303-1512
failure_mode_effects_and_criticality_analysis,xxxx
fea_definition_relationships_arm,ISO/TS 10303-1380
feature_and_connection_zone_arm,ISO/TS 10303-1671
fea_material_aspects_arm,ISO/TS 10303-1769
file_identification_arm,ISO/TS 10303-1127
fill_area_style_arm,ISO/TS 10303-1672
finite_element_analysis_arm,ISO/TS 10303-1381
finite_element_shape_arm,ISO/TS 10303-1382
finite_elements_arm,ISO/TS 10303-1383
footprint_definition_arm,ISO/TS 10303-1646
foundation_representation_arm,ISO/TS 10303-1006
foundation_state_definition_arm,ISO/TS 10303-1469
functional_assignment_to_part_arm,ISO/TS 10303-1674
functional_breakdown_arm,ISO/TS 10303-1216
functional_data_arm,ISO/TS 10303-1151
functional_data_and_schematic_representation_arm,ISO/TS 10303-421
functional_decomposition_to_assembly_design_arm,ISO/TS 10303-1675
functional_decomposition_to_design_arm,ISO/TS 10303-1676
functional_decomposition_to_interconnect_design_arm,ISO/TS 10303-1677
functional_decomposition_with_nodal_representation_to_packaged_mapping_arm,ISO/TS 10303-1678
functional_specification_arm,ISO/TS 10303-1679
functional_unit_requirement_allocation_arm,ISO/TS 10303-1680
functional_usage_view_arm,ISO/TS 10303-1705
function_based_behaviour_arm,ISO/TS 10303-1453
function_based_behaviour_representation_arm,ISO/TS 10303-1492
furniture_interior_decoration_arm,ISO/TS 10303-1354
gear_units,xxxx
general_feature_arm,ISO/TS 10303-1781
general_model_parameter_arm,ISO/TS 10303-1472
general_surface_appearance_arm,ISO/TS 10303-1007
generic_expression_arm,ISO/TS 10303-1341
generic_material_aspects_arm,ISO/TS 10303-1681
generic_product_occurrence_arm,ISO/TS 10303-1762
geometrically_bounded_surface_arm,ISO/TS 10303-1507
geometrically_bounded_wireframe_arm,ISO/TS 10303-1510
geometric_model_2d_3d_relationship_arm,ISO/TS 10303-1404
geometric_model_relationship_arm,ISO/TS 10303-1403 
geometric_tolerance_arm,ISO/TS 10303-1051
geometric_validation_property_representation_arm,ISO/TS 10303-1039
group_arm,ISO/TS 10303-1113
hybrid_breakdown_arm,ISO/TS 10303-1218
identification_assignment_arm,ISO/TS 10303-1021
identification_relationship_arm,ISO/TS 10303-1398
incomplete_data_reference_mechanism_arm,ISO/TS 10303-1349
independent_property_arm,ISO/TS 10303-1036
independent_property_definition_arm,ISO/TS 10303-1099
independent_property_representation_arm,ISO/TS 10303-1038
individual_activity_arm,ISO/TS 10303-1176
individual_activity_structure_arm,ISO/TS 10303-1175
individual_involvement_in_activity_arm,ISO/TS 10303-1179
individual_product_structure_arm,ISO/TS 10303-1163
inertia_characteristics_arm,ISO/TS 10303-1350
information_packet_arm,ISO/TS 10303-1445
information_product_arm,ISO/TS 10303-1761
information_product_version_relationship_arm,ISO/TS 10303-xxxx
information_rights_arm,ISO/TS 10303-1241
input_output_arm,ISO/TS 10303-1459
integral_shield_arm,ISO/TS 10303-1763
interconnect_2d_shape_arm,ISO/TS 10303-1682
interconnect_module_connection_routing_arm,ISO/TS 10303-1684
interconnect_module_to_assembly_module_relationship_arm,ISO/TS 10303-1685
interconnect_module_usage_view_arm,ISO/TS 10303-1686
interconnect_module_with_macros_arm,ISO/TS 10303-1687
interconnect_non_planar_shape_arm,ISO/TS 10303-1688
interconnect_physical_requirement_allocation_arm,ISO/TS 10303-1689
interconnect_placement_requirements_arm,ISO/TS 10303-1690
interface_arm,ISO/TS 10303-1251
interface_component_arm,ISO/TS 10303-1691
interface_lifecycle_arm,ISO/TS 10303-1294
involvement_of_individual_product_in_connection_arm,ISO/TS 10303-1165
issue_arm,ISO/TS 10303-1490
issue_management_arm,ISO/TS 10303-1489
item_definition_structure_arm,ISO/TS 10303-1345
justification_arm,ISO/TS 10303-1263
land_arm,ISO/TS 10303-1692
layered_2d_shape_arm,ISO/TS 10303-1693
layered_3d_shape_arm,ISO/TS 10303-1694
layered_interconnect_complex_template_arm,ISO/TS 10303-1716
layered_interconnect_module_2d_design_arm,ISO/TS 10303-1695
layered_interconnect_module_3d_design_arm,ISO/TS 10303-1696
layered_interconnect_module_design_arm,ISO/TS 10303-1698
layered_interconnect_module_with_printed_component_design_arm,ISO/TS 10303-1700 
layered_interconnect_simple_template_arm,ISO/TS 10303-1718
layer_assignment_arm,ISO/TS 10303-1008
layout_macro_definition_arm,ISO/TS 10303-1701
location_arm,ISO/TS 10303-1276
location_assignment_arm,ISO/TS 10303-1277
location_assignment_characterized_arm,ISO/TS 10303-1358
location_in_building_arm,ISO/TS 10303-1146
management_resource_information_arm,ISO/TS 10303-1288
manifold_subsurface_arm,ISO/TS 10303-1702
manifold_surface_arm,ISO/TS 10303-1509
manufacturing_configuration_effectivity_arm,ISO/TS 10303-1147
maths_space_arm,ISO/TS 10303-1091
maths_value_arm,ISO/TS 10303-1092
measure_of_effectiveness_arm,ISO/TS 10303-1478
measure_representation_arm,ISO/TS 10303-1118
mechanical_design_geometric_presentation_arm,ISO/TS 10303-1313
mechanical_design_presentation_representation_with_draughting_arm,ISO/TS 10303-1315
mechanical_design_shaded_presentation_arm,ISO/TS 10303-1314
mesh_connectivity_arm,ISO/TS 10303-1384
mesh_function_arm,ISO/TS 10303-1385
mesh_topology_arm,ISO/TS 10303-1386
message_arm,ISO/TS 10303-1270
model_based_definition_arm,ISO/TS 10303-1766
model_parameter_arm,ISO/TS 10303-1703
modified_swept_solid_arm,ISO/TS 10303-1322
multi_linguism_arm,ISO/TS 10303-1105
name_assignment_arm,ISO/TS 10303-1340
network_functional_design_view_arm,ISO/TS 10303-1704
non_feature_shape_element_arm,ISO/TS 10303-1706
non_manifold_surface_arm,ISO/TS 10303-1324
numerical_interface_arm,ISO/TS 10303-1344
numeric_expression_arm,ISO/TS 10303-xxxx
numeric_function_arm,ISO/TS 10303-1346
observation_arm,ISO/TS 10303-1258
order_condition_arm,ISO/TS 10303-1456
organization_structure_arm,ISO/TS 10303-1435
organization_type_arm,ISO/TS 10303-1240
package_arm,ISO/TS 10303-1707
packaged_connector_model_arm,ISO/TS 10303-1708
packaged_part_black_box_model_arm,ISO/TS 10303-1710
packaged_part_white_box_model_arm,ISO/TS 10303-1709
parameterized_catalog_data_and_shape_representation_arm,ISO/TS 10303-1355
parameterized_catalog_data_information_arm,ISO/TS 10303-1353
parameter_value_specification_arm,ISO/TS 10303-1470
part_and_version_identification_arm,ISO/TS 10303-1022
part_and_zone_laminate_tables_arm,ISO/TS 10303-1770
part_collection_arm,ISO/TS 10303-1115
part_definition_relationship_arm,ISO/TS 10303-1055
part_external_reference_arm,ISO/TS 10303-1711
part_feature_function_arm,ISO/TS 10303-1712
part_feature_grouping_arm,ISO/TS 10303-1713
part_feature_location_arm,ISO/TS 10303-1714
part_occurrence_arm,ISO/TS 10303-1715
part_template_arm,ISO/TS 10303-1722
part_template_2d_shape_arm,ISO/TS 10303-1716
part_template_3d_shape_arm,ISO/TS 10303-1717
part_template_extension_arm,ISO/TS 10303-1718
part_template_non_planar_shape_arm,ISO/TS 10303-1719
part_template_shape_with_parameters_arm,ISO/TS 10303-1720
part_view_definition_arm,ISO/TS 10303-1023
pdm_material_aspects_arm,ISO/TS 10303-1116
person_organization_arm,ISO/TS 10303-1011
person_organization_assignment_arm,ISO/TS 10303-1013
physical_breakdown_arm,ISO/TS 10303-1215
physical_component_feature_arm,ISO/TS 10303-1721
physical_connectivity_definition_arm,ISO/TS 10303-1755
physical_layout_template_arm,ISO/TS 10303-1722
physical_node_requirement_to_implementing_component_allocation_arm,ISO/TS 10303-1723
physical_unit_2d_design_view_arm,ISO/TS 10303-1724
physical_unit_2d_shape_arm,ISO/TS 10303-1726
physical_unit_3d_design_view_arm,ISO/TS 10303-1725
physical_unit_3d_shape_arm,ISO/TS 10303-1727
physical_unit_design_view_arm,ISO/TS 10303-1728
physical_unit_interconnect_definition_arm,ISO/TS 10303-1729
physical_unit_non_planar_design_view_arm,ISO/TS 10303-1613
physical_unit_shape_with_parameters_arm,ISO/TS 10303-1730
physical_unit_usage_view_arm,ISO/TS 10303-1732
picture_representation_arm,ISO/TS 10303-1308 
picture_representation,ISO/TS 10303-1308
planned_characteristic_arm,ISO/TS 10303-1733
plib_class_reference_arm,ISO/TS 10303-1291
ply_orientation_specification_arm,ISO/TS 10303-1772
ply_shape_definition_arm,ISO/TS 10303-xxxx
position_in_organization_arm,ISO/TS 10303-1242
possession_of_property_arm,ISO/TS 10303-1199
pre_defined_datum_2d_symbol_arm,ISO/TS 10303-1735
pre_defined_datum_3d_symbol_arm,ISO/TS 10303-1736
pre_defined_datum_symbol_arm,ISO/TS 10303-1734
pre_defined_product_data_management_specializations_arm,ISO/TS 10303-1760
presentation_hierarchy_arm,ISO/TS 10303-1330
printed_physical_layout_template_arm,ISO/TS 10303-1737
probability_arm,ISO/TS 10303-1252
probability_distribution_arm,ISO/TS 10303-1274
procedural_shape_model_arm,ISO/TS 10303-1317
procedural_solid_model_arm,ISO/TS 10303-1318
process_property_assignment_arm,ISO/TS 10303-1040
production_rule_arm,ISO/TS 10303-1739
product_analysis_arm,ISO/TS 10303-1387
product_as_individual_arm,ISO/TS 10303-1164
product_breakdown_arm,ISO/TS 10303-1248
product_categorization_arm,ISO/TS 10303-1016
product_class_arm,ISO/TS 10303-1103
product_concept_identification_arm,ISO/TS 10303-1060
product_data_management_arm,ISO/TS 10303-1231
product_environment_definition_arm,ISO/TS 10303-1400
product_environment_observed_arm,ISO/TS 10303-1401
product_group_arm,ISO/TS 10303-1278
product_identification_arm,ISO/TS 10303-1017
product_identification_extension_arm,ISO/TS 10303-1738
product_item_identification_arm,ISO/TS 10303-xxxx
product_management_data_arm,ISO/TS 10303-1107
product_occurrence_arm,ISO/TS 10303-1063
product_placement_arm,ISO/TS 10303-1343
product_property_feature_definition_arm,ISO/TS 10303-1101
product_relationship_arm,ISO/TS 10303-1024
product_replacement_arm,ISO/TS 10303-1046
product_status_record_arm,ISO/TS 10303-xxxx
product_structure_arm,ISO/TS 10303-1134
product_structure_and_classification_arm,ISO/TS 10303-1156
product_version_arm,ISO/TS 10303-1018
product_version_relationship_arm,ISO/TS 10303-1020
product_view_definition_arm,ISO/TS 10303-1019
product_view_definition_properties_arm,ISO/TS 10303-1034
product_view_definition_relationship_arm,ISO/TS 10303-1041
program_management_arm,ISO/TS 10303-1466
project_arm,ISO/TS 10303-1061
project_breakdown_arm,ISO/TS 10303-1436
project_management_arm,ISO/TS 10303-1433
project_management_organization_structure_connector_arm,ISO/TS 10303-1441
project_management_project_breakdown_connector_arm,ISO/TS 10303-1442
project_management_project_management_resource_information_connector_arm,ISO/TS 10303-1440
project_management_resource_information_arm,ISO/TS 10303-1434
project_management_schedule_connector_arm,ISO/TS 10303-1443
project_management_work_structure_connector_arm,ISO/TS 10303-1444
property_and_property_assignment_arm,ISO/TS 10303-1198
property_as_definition_arm,ISO/TS 10303-1399 
property_as_definition,ISO/TS 10303-1399
property_assignment_arm,ISO/TS 10303-1030
property_condition_arm,ISO/TS 10303-1074
property_identification_arm,ISO/TS 10303-1085
property_space_arm,ISO/TS 10303-1080
qualifications_arm,ISO/TS 10303-1244
qualified_measure_arm,ISO/TS 10303-1782
reference_data_library_arm,ISO/TS 10303-1213
representation_with_uncertainty_arm,ISO/TS 10303-1228
required_resource_arm,ISO/TS 10303-1267
required_resource_characterized_arm,ISO/TS 10303-1280
requirement_assignment_arm,ISO/TS 10303-1233
requirement_categorization_arm,ISO/TS 10303-1452
requirement_decomposition_arm,ISO/TS 10303-1740
requirement_identification_and_version_arm,ISO/TS 10303-1140
requirement_management_arm,ISO/TS 10303-1348
requirement_model_assignment_arm,ISO/TS 10303-1460
requirement_view_definition_arm,ISO/TS 10303-1141
requirement_view_definition_relationship_arm,ISO/TS 10303-1142
resource_as_realized_arm,ISO/TS 10303-1269
resource_as_realized_characterized_arm,ISO/TS 10303-1283
resource_item_arm,ISO/TS 10303-1268
resource_item_characterized_arm,ISO/TS 10303-1281
resource_management_arm,ISO/TS 10303-1266
resource_management_characterized_arm,ISO/TS 10303-1282
resource_property_assignment_arm,ISO/TS 10303-1273
risk_arm,ISO/TS 10303-1264
risk_management_arm,ISO/TS 10303-1467
same_as_external_item_arm,ISO/TS 10303-1402 
schedule_arm,ISO/TS 10303-1437
schematic_and_symbolization_arm,ISO/TS 10303-1203
schematic_drawing_arm,ISO/TS 10303-1204
schematic_element_arm,ISO/TS 10303-1205
schematic_element_library_arm,ISO/TS 10303-1208
scheme_arm,ISO/TS 10303-1260
security_classification_arm,ISO/TS 10303-1015
selected_item_arm,ISO/TS 10303-1357
sequential_laminate_assembly_design_arm,ISO/TS 10303-1741
set_theory_arm,ISO/TS 10303-1210
shape_appearance_layers_arm,ISO/TS 10303-1009
shape_composition_arm,ISO/TS 10303-1742
shape_feature_arm,ISO/TS 10303-1764
shape_parameters_arm,ISO/TS 10303-1743
shape_property_assignment_arm,ISO/TS 10303-1032
shared_resource_arm,ISO/TS 10303-1457
shell_based_wireframe_arm,ISO/TS 10303-1502
signal_arm,ISO/TS 10303-1745
simplified_cataloguing_arm,ISO/TS 10303-1137
single_part_representation_arm,ISO/TS 10303-1133
software_arm,ISO/TS 10303-1746
solid_with_local_modification_arm,ISO/TS 10303-1319
specification_based_configuration_arm,ISO/TS 10303-1108
specification_control_arm,ISO/TS 10303-1112
specification_document_arm,ISO/TS 10303-1747
specified_product_arm,ISO/TS 10303-1104
state_based_behavior_arm,ISO/TS 10303-1371
state_based_behavior_representation_arm,ISO/TS 10303-1471
state_based_behaviour_arm,ISO/TS 10303-1371
state_based_behaviour_representation_arm,ISO/TS 10303-1471
state_characterized_arm,ISO/TS 10303-1271
state_definition_arm,ISO/TS 10303-1255
state_observed_arm,ISO/TS 10303-1256
stock_material_arm,ISO/TS 10303-1771
stratum_non_planar_shape_arm,ISO/TS 10303-1748
structure_and_classification_arm,ISO/TS 10303-1152
styled_curve_arm,ISO/TS 10303-1749
styled_text_arm,ISO/TS 10303-1750
surface_conditions_arm,ISO/TS 10303-1110
swept_solid_arm,ISO/TS 10303-1321
symbolization_by_schematic_element_arm,ISO/TS 10303-1209
system_behavior_connector_arm,ISO/TS 10303-1449
system_behaviour_arm,ISO/TS 10303-1448
system_breakdown_arm,ISO/TS 10303-1214
system_identification_and_version_arm,ISO/TS 10303-1484
system_modelling_arm,ISO/TS 10303-1477
system_requirements_arm,ISO/TS 10303-1446
system_requirements_connector_arm,ISO/TS 10303-1447
system_risk_connector_arm,ISO/TS 10303-1461
system_structure_arm,ISO/TS 10303-1450
system_structure_connector_arm,ISO/TS 10303-1451
system_view_definition_arm,ISO/TS 10303-1485
tagged_text_representation_arm,ISO/TS 10303-1366
task_element_arm,ISO/TS 10303-1480
task_specification_arm,ISO/TS 10303-1262
test_area_arm,ISO/TS 10303-9999
test_requirement_allocation_arm,ISO/TS 10303-1751
test_select_product_arm,ISO/TS 10303-1757
textual_expression_representation_arm,ISO/TS 10303-1367
text_appearance_arm,ISO/TS 10303-1136
text_representation_arm,ISO/TS 10303-1750
thermal_network_definition_arm,ISO/TS 10303-1752
thickened_face_solid_arm,ISO/TS 10303-1752
time_duration_relationship_arm,ISO/TS 10303-1462
time_interval_arm,ISO/TS 10303-1065
time_interval_assignment_arm,ISO/TS 10303-1365
topologically_bounded_surface_arm,ISO/TS 10303-1511
transformation_arm,ISO/TS 10303-1463
transformation_input_output_arm,ISO/TS 10303-1454
transformation_order_arm,ISO/TS 10303-1455
type_of_person_arm,ISO/TS 10303-1245
user_defined_attribute_arm,ISO/TS 10303-1464
value_with_unit_arm,ISO/TS 10303-1054
value_with_unit_extension_arm,ISO/TS 10303-1753
verification_and_validation_arm,ISO/TS 10303-1488
